engine,dataset,concurrency,warmup_requests,successful_requests,failed_requests,request_throughput_rps,output_tokens_per_second,ttft_p50_s,ttft_p95_s,ttft_p99_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,path
sglang,chat_trace,1,4,96,0,0.9271768669002999,148.8698356916794,0.020572293549776077,0.021684827283024788,0.02282355409115552,1.1680891439318657,1.3411986352875829,1.343723340705037,results/qwen-awq-engine-comparison/sglang/qwen25-7b-instruct-awq/chat_trace/c1/summary.json
vllm,chat_trace,1,4,96,0,0.7950666455970085,128.1796507698427,0.013721689581871033,0.020118328742682934,0.020500903576612464,1.3570058345794678,1.5611795019358397,1.5740181433036924,results/qwen-awq-engine-comparison/vllm/qwen25-7b-instruct-awq/chat_trace/c1/summary.json
sglang,chat_trace,2,4,144,0,1.8284134020711926,281.57566391896364,0.025674624368548393,0.028310483135282994,0.03381927531212567,1.1273113153874874,1.398562603071332,1.4107466812059284,results/qwen-awq-engine-comparison/sglang/qwen25-7b-instruct-awq/chat_trace/c2/summary.json
vllm,chat_trace,2,4,144,0,1.5706239270466886,242.44326838261796,0.01540263183414936,0.018808303400874138,0.024475463666021824,1.3128596916794777,1.6224786853417754,1.632201883904636,results/qwen-awq-engine-comparison/vllm/qwen25-7b-instruct-awq/chat_trace/c2/summary.json
sglang,chat_trace,4,4,192,0,3.5132236265834442,537.3036383906054,0.026011856272816658,0.034406927227973935,0.04597285181283951,1.166987719014287,1.4485752794891595,1.4543501512333752,results/qwen-awq-engine-comparison/sglang/qwen25-7b-instruct-awq/chat_trace/c4/summary.json
vllm,chat_trace,4,4,192,0,3.0469375378882777,467.5620868687621,0.01638050563633442,0.028256556950509545,0.03369673885405064,1.346974877640605,1.6680489214137195,1.6769874297827483,results/qwen-awq-engine-comparison/vllm/qwen25-7b-instruct-awq/chat_trace/c4/summary.json
sglang,prefix_heavy,1,4,96,0,0.9938878166275895,145.68932285456754,0.021079447120428085,0.022470558993518353,0.0240639518946409,1.0470128171145916,1.225960905663669,1.232136131450534,results/qwen-awq-engine-comparison/sglang/qwen25-7b-instruct-awq/prefix_heavy/c1/summary.json
vllm,prefix_heavy,1,4,96,0,0.8639045074866097,122.40447401569538,0.014725444838404655,0.021437302231788635,0.02242015358060596,1.2365848701447248,1.4538911087438464,1.4664921522140502,results/qwen-awq-engine-comparison/vllm/qwen25-7b-instruct-awq/prefix_heavy/c1/summary.json
sglang,prefix_heavy,2,4,144,0,1.9603711216057653,277.3108315771489,0.02596140094101429,0.028406149521470067,0.03505165863782167,1.091392870992422,1.281819350644946,1.289146987684071,results/qwen-awq-engine-comparison/sglang/qwen25-7b-instruct-awq/prefix_heavy/c2/summary.json
vllm,prefix_heavy,2,4,144,0,1.6938671752229286,235.97687084824423,0.01586400717496872,0.019408700056374073,0.025670940615236757,1.2596517503261566,1.502927716076374,1.506547059006989,results/qwen-awq-engine-comparison/vllm/qwen25-7b-instruct-awq/prefix_heavy/c2/summary.json
sglang,prefix_heavy,4,4,192,0,3.6957833203734336,520.0082624994183,0.026202792301774025,0.03565842360258102,0.03968931708484888,1.1116811838001013,1.3090419605374337,1.3348555455356836,results/qwen-awq-engine-comparison/sglang/qwen25-7b-instruct-awq/prefix_heavy/c4/summary.json
vllm,prefix_heavy,4,4,192,0,3.282087116508461,450.41517412959087,0.01709265075623989,0.02858553025871515,0.03549665238708258,1.2873278316110373,1.533106829226017,1.5581982261314988,results/qwen-awq-engine-comparison/vllm/qwen25-7b-instruct-awq/prefix_heavy/c4/summary.json
